
"QS419EW - Position in communal establishment"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents in communal establishments"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Position in communal establishment","Resident","Staff or owner","Family member or partner of staff or owner"
"SO43 7",200,148,50,2
"SO45 1",53,50,1,2
"SO45 2",0,0,0,0
"SO45 3",36,25,6,5
"SO45 4",38,32,2,4
"SO45 5",2,1,1,0
"SO45 6",5,5,0,0
"SO50 4",14,14,0,0
"SO50 5",22,19,3,0
"SO50 6",33,30,0,3
"SO50 7",48,48,0,0
"SO50 8",6,6,0,0
"SO50 9",71,65,0,6
"SO51 0",197,153,30,14
"SO51 5",21,21,0,0
"SO51 6",199,171,2,26
"SO51 7",144,127,0,17
"SO51 8",64,52,1,11
"SO51 9",6,0,6,0
"SO52 9",50,50,0,0
"SO53 1",131,118,0,13
"SO53 2",59,59,0,0
"SO53 3",14,13,1,0
"SO53 4",0,0,0,0
"SO53 5",6,6,0,0
"SP1  1",217,205,6,6
"SP1  2",330,313,9,8
"SP1  3",326,305,9,12
"SP10 1",36,32,0,4
"SP10 2",95,89,4,2
"SP10 3",328,296,1,31
"SP10 4",22,22,0,0
"SP10 5",0,0,0,0
"SP11 0",60,50,10,0
"SP11 6",121,119,2,0
"SP11 7",102,88,14,0
"SP11 8",126,125,1,0
"SP11 9",550,535,11,4
"SP2  0",132,119,6,7
"SP2  7",119,116,1,2
"SP2  8",137,125,9,3
"SP2  9",19,16,2,1
"SP3  4",87,63,19,5
"SP3  5",3,3,0,0
"SP3  6",21,20,1,0
"SP4  0",3,0,2,1
"SP4  6",20,17,2,1
"SP4  7",189,186,3,0
"SP4  8",721,712,2,7
"SP4  9",854,833,14,7
"SP5  1",49,48,1,0
"SP5  2",133,95,8,30
"SP5  3",5,5,0,0
"SP5  4",0,0,0,0
"SP5  5",106,88,9,9
"SP6  1",191,180,3,8
"SP6  2",3,0,2,1
"SP6  3",13,1,5,7
"SP7  0",324,310,1,13
"SP7  8",175,158,11,6
"SP7  9",360,351,5,4
"SP8  4",136,131,3,2
"SP8  5",4,4,0,0
"SP9  7",2348,2308,26,14
"SR1  1",310,309,1,0
"SR1  2",319,316,2,1
"SR1  3",0,0,0,0
"SR2  0",100,86,13,1
"SR2  7",250,226,1,23
"SR2  8",69,62,2,5
"SR2  9",41,41,0,0
"SR3  1",21,21,0,0
"SR3  2",50,42,0,8
"SR3  3",74,70,4,0
"SR3  4",39,39,0,0
"SR4  0",34,34,0,0
"SR4  6",598,595,2,1
"SR4  7",371,358,10,3
"SR4  8",191,161,14,16
"SR4  9",10,10,0,0
"SR5  1",67,67,0,0
"SR5  2",48,45,0,3
"SR5  3",104,91,2,11
"SR5  4",7,7,0,0
"SR5  5",179,162,12,5
"SR6  0",94,85,3,6
"SR6  7",0,0,0,0
"SR6  8",25,20,1,4
"SR6  9",162,137,4,21
"SR7  0",92,91,1,0
"SR7  7",159,147,7,5
"SR7  8",54,50,2,2
"SR7  9",91,73,12,6
"SR8  1",5,5,0,0
"SR8  2",1,1,0,0
"SR8  3",85,40,1,44
"SR8  4",72,68,1,3
"SR8  5",183,155,5,23
"SS0  0",43,42,0,1
"SS0  7",360,343,6,11
"SS0  8",535,522,8,5
"SS0  9",59,58,1,0
"SS1  1",224,215,4,5
"SS1  2",170,162,4,4
"SS1  3",30,16,4,10
"SS11 7",212,208,2,2
"SS11 8",54,53,1,0
"SS12 0",50,43,0,7
"SS12 9",66,64,0,2
"SS13 1",63,49,3,11
"SS13 2",69,56,3,10
"SS13 3",0,0,0,0
"SS14 1",42,32,0,10
"SS14 2",313,206,85,22
"SS14 3",0,0,0,0
"SS15 4",25,25,0,0
"SS15 5",101,91,2,8
"SS15 6",14,14,0,0
"SS16 4",45,45,0,0
"SS16 5",26,21,5,0
"SS16 6",92,70,17,5
"SS17 0",41,36,1,4
"SS17 7",52,48,0,4
"SS17 8",3,0,1,2
"SS17 9",5,5,0,0
"SS2  4",82,78,1,3
"SS2  5",52,50,1,1
"SS2  6",87,85,0,2
"SS3  0",48,43,0,5
"SS3  8",0,0,0,0
"SS3  9",136,134,0,2
"SS4  1",56,51,1,4
"SS4  2",75,68,3,4
"SS4  3",18,18,0,0
"SS5  4",0,0,0,0
"SS5  5",4,2,1,1
"SS5  6",0,0,0,0
"SS6  7",20,17,0,3
"SS6  8",284,270,2,12
"SS6  9",37,37,0,0
"SS7  1",197,192,0,5
"SS7  2",17,15,0,2
"SS7  3",125,115,1,9
"SS7  4",0,0,0,0
"SS7  5",79,77,2,0
"SS8  0",63,52,0,11
"SS8  7",65,55,0,10
"SS8  8",2,0,1,1
"SS8  9",78,75,3,0
"SS9  1",201,180,5,16
"SS9  2",45,44,0,1
"SS9  3",53,49,2,2
"SS9  4",38,36,0,2
"SS9  5",63,54,0,9
"ST1  2",17,17,0,0
"ST1  3",219,216,1,2
"ST1  4",84,83,1,0
"ST1  5",5,5,0,0
"ST1  6",2,2,0,0
"ST10 1",145,132,4,9
"ST10 2",96,89,4,3
"ST10 3",10,0,6,4
"ST10 4",42,20,17,5
"ST11 9",120,115,3,2
"ST12 9",107,76,0,31
"ST13 5",121,104,7,10
"ST13 6",87,84,0,3
"ST13 7",81,66,6,9
"ST13 8",150,145,0,5
"ST14 5",243,214,18,11
"ST14 7",69,67,0,2
"ST14 8",996,968,2,26
"ST15 0",148,133,0,15
"ST15 8",188,167,1,20
"ST16 1",169,161,2,6
"ST16 2",16,16,0,0
"ST16 3",919,895,10,14
"ST17 0",95,87,2,6
"ST17 4",60,57,3,0
"ST17 9",73,54,12,7
"ST18 0",957,930,6,21
"ST18 9",190,84,100,6
"ST19 5",21,15,4,2
"ST19 9",47,44,0,3
"ST2  0",98,88,3,7
"ST2  7",25,19,2,4
"ST2  8",48,47,1,0
"ST2  9",60,46,0,14
"ST20 0",13,12,0,1
"ST21 6",270,240,27,3
"ST3  1",27,26,1,0
"ST3  2",63,56,2,5
"ST3  3",6,4,0,2
"ST3  4",157,148,2,7
"ST3  5",61,61,0,0
"ST3  6",102,102,0,0
"ST3  7",20,16,1,3
"ST4  1",28,28,0,0
"ST4  2",840,839,1,0
"ST4  3",39,7,32,0
"ST4  4",0,0,0,0
"ST4  5",47,47,0,0
"ST4  6",42,34,0,8
"ST4  7",31,31,0,0
"ST4  8",301,281,3,17
"ST5  0",95,94,0,1
"ST5  1",90,87,0,3
"ST5  2",77,64,2,11
"ST5  3",6,6,0,0
"ST5  4",5,5,0,0
"ST5  5",3236,3232,2,2
"ST5  6",29,29,0,0
"ST5  7",105,98,2,5
"ST5  8",191,189,1,1
"ST5  9",68,59,0,9
"ST6  1",22,22,0,0
"ST6  2",6,6,0,0
"ST6  3",144,144,0,0
"ST6  4",95,83,3,9
"ST6  5",138,123,6,9
"ST6  6",132,126,4,2
"ST6  7",45,42,2,1
"ST6  8",53,44,0,9
"ST7  1",118,113,3,2
"ST7  2",108,102,2,4
"ST7  3",76,72,0,4
"ST7  4",8,8,0,0
"ST7  8",37,33,2,2
"ST8  6",70,63,0,7
"ST8  7",117,110,0,7
"ST9  0",160,156,0,4
"ST9  9",47,40,0,7
"SW10 0",10,10,0,0
"SW10 9",108,103,4,1
"SW11 1",24,24,0,0
"SW11 2",32,26,6,0
"SW11 3",68,68,0,0
"SW11 4",166,145,21,0
"SW11 5",0,0,0,0
"SW11 6",38,38,0,0
"SW12 0",13,0,0,13
"SW12 8",214,196,7,11
"SW12 9",56,56,0,0
"SW13 0",44,44,0,0
"SW13 8",0,0,0,0
"SW13 9",51,42,8,1
"SW14 7",6,3,3,0
"SW14 8",150,144,6,0
"SW15 1",10,10,0,0
"SW15 2",78,77,0,1
"SW15 3",325,307,17,1
"SW15 4",591,586,0,5
"SW15 5",1037,1033,4,0
"SW15 6",21,20,0,1
"SW16 1",185,172,9,4
"SW16 2",338,271,61,6
"SW16 3",106,102,4,0
"SW16 4",100,87,5,8
"SW16 5",102,100,1,1
"SW16 6",311,295,16,0
"SW17 0",442,431,10,1
"SW17 6",20,18,0,2
"SW17 7",297,279,17,1
"SW17 8",93,91,2,0
"SW17 9",59,56,3,0
"SW18 1",19,16,3,0
"SW18 2",39,34,5,0
"SW18 3",1247,1161,5,81
"SW18 4",26,25,1,0
"SW18 5",0,0,0,0
"SW19 1",99,81,15,3
"SW19 2",231,229,0,2
"SW19 3",0,0,0,0
"SW19 4",118,103,11,4
"SW19 5",89,74,4,11
"SW19 6",154,147,7,0
"SW19 7",27,18,7,2
"SW19 8",182,168,4,10
"SW1A 1",1,1,0,0
"SW1E 5",67,67,0,0
"SW1E 6",263,237,25,1
"SW1H 0",0,0,0,0
"SW1H 9",0,0,0,0
"SW1P 1",249,225,24,0
"SW1P 2",188,188,0,0
"SW1P 3",206,205,1,0
"SW1P 4",56,54,0,2
"SW1V 1",112,109,3,0
"SW1V 2",12,10,2,0
"SW1V 3",45,45,0,0
"SW1V 4",1,1,0,0
"SW1W 0",84,41,43,0
"SW1W 8",4,4,0,0
"SW1W 9",0,0,0,0
"SW1X 0",0,0,0,0
"SW1X 7",0,0,0,0
"SW1X 8",0,0,0,0
"SW1X 9",0,0,0,0
"SW1Y 4",0,0,0,0
"SW1Y 6",8,2,6,0
"SW2  1",32,30,0,2
"SW2  2",70,69,1,0
"SW2  3",127,126,1,0
"SW2  4",26,26,0,0
"SW2  5",449,416,15,18
"SW20 0",44,42,0,2
"SW20 8",140,111,3,26
"SW20 9",82,65,10,7
"SW3  1",0,0,0,0
"SW3  2",0,0,0,0
"SW3  3",0,0,0,0
"SW3  4",294,293,0,1
"SW3  5",33,29,4,0
"SW3  6",191,153,36,2
"SW4  0",26,25,0,1
"SW4  6",55,55,0,0
"SW4  7",119,111,8,0
"SW4  8",0,0,0,0
"SW4  9",26,24,2,0
"SW5  0",93,88,5,0
"SW5  9",124,110,13,1
"SW6  1",45,43,0,2
"SW6  2",315,311,3,1
"SW6  3",0,0,0,0
"SW6  4",31,31,0,0
"SW6  5",21,21,0,0
"SW6  6",0,0,0,0
"SW6  7",16,16,0,0
"SW7  1",1143,1126,15,2
"SW7  2",263,254,9,0
"SW7  3",609,589,10,10
"SW7  4",59,37,8,14
"SW7  5",39,33,5,1
"SW8  1",176,160,7,9
"SW8  2",5,5,0,0
"SW8  3",0,0,0,0
"SW8  4",5,2,1,2
"SW8  5",0,0,0,0
"SW9  0",88,87,1,0
"SW9  6",15,15,0,0
"SW9  7",4,4,0,0
"SW9  8",9,9,0,0
"SW9  9",83,75,4,4
"SY1  1",42,33,8,1
"SY1  2",437,421,3,13
"SY1  3",69,56,5,8
"SY1  4",7,7,0,0
"SY10 0",19,4,15,0
"SY10 7",248,225,21,2
"SY10 8",2,0,0,2
"SY10 9",75,69,1,5
"SY11 1",34,28,1,5
"SY11 2",247,215,13,19
"SY11 3",368,332,17,19
"SY11 4",49,48,0,1
"SY12 0",36,31,2,3
"SY12 9",253,229,11,13
"SY13 1",153,139,8,6
"SY13 2",33,31,2,0
"SY13 3",39,39,0,0
"SY13 4",3,2,0,1
"SY14 7",2,2,0,0
"SY14 8",58,57,1,0
"SY15 6",54,42,9,3
"SY16 1",110,91,3,16
"SY16 2",21,17,3,1
"SY16 3",10,7,3,0
"SY16 4",4,0,4,0
"SY17 5",9,1,6,2
"SY18 6",50,33,8,9
"SY19 7",8,1,5,2
"SY2  5",151,137,10,4
"SY2  6",78,73,5,0
"SY20 8",50,31,13,6
"SY20 9",13,3,8,2
"SY21 0",3,0,2,1
"SY21 7",197,190,4,3
"SY21 8",26,8,10,8
"SY21 9",11,11,0,0
"SY22 5",31,30,1,0
"SY22 6",60,42,10,8
"SY23 1",190,189,1,0
"SY23 2",768,755,7,6
"SY23 3",2605,2573,20,12
"SY23 4",72,67,5,0
"SY23 5",34,31,2,1
"SY24 5",35,28,4,3
"SY25 6",15,12,0,3
"SY3  0",59,57,0,2
"SY3  5",120,107,13,0
"SY3  6",37,26,1,10
"SY3  7",633,610,16,7
"SY3  8",244,225,2,17
"SY3  9",81,72,0,9
"SY4  1",134,124,9,1
"SY4  2",273,155,118,0
"SY4  3",21,16,2,3
"SY4  4",328,323,4,1
"SY4  5",176,155,20,1
"SY5  0",68,59,9,0
"SY5  6",3,0,1,2
"SY5  7",383,371,4,8
"SY5  8",56,56,0,0
"SY5  9",42,42,0,0
"SY6  6",69,43,14,12
"SY6  7",74,60,9,5
"SY7  0",93,93,0,0
"SY7  8",2,0,2,0
"SY7  9",42,8,34,0
"SY8  1",141,126,6,9
"SY8  2",7,0,7,0
"SY8  3",8,7,1,0
"SY8  4",42,35,7,0
"SY9  5",126,93,19,14
"TA1  1",73,70,3,0
"TA1  2",147,143,0,4
"TA1  3",547,509,8,30
"TA1  4",258,254,4,0
"TA1  5",236,206,17,13
"TA10 0",23,20,3,0
"TA10 9",128,116,7,5
"TA11 6",50,40,0,10
"TA11 7",46,46,0,0
"TA12 6",47,37,7,3
"TA13 5",33,33,0,0
"TA14 6",0,0,0,0
"TA15 6",2,0,2,0
"TA16 5",29,29,0,0
"TA17 8",0,0,0,0
"TA18 7",16,3,12,1
"TA18 8",43,39,3,1
"TA19 0",32,28,0,4
"TA19 9",82,80,1,1
"TA2  6",972,953,10,9
"TA2  7",133,127,0,6
"TA2  8",81,72,3,6
"TA20 1",72,66,0,6
"TA20 2",69,65,4,0
"TA20 3",5,5,0,0
"TA20 4",4,3,1,0
"TA21 0",56,54,0,2
"TA21 8",270,262,2,6
"TA21 9",169,160,4,5
"TA22 9",19,6,8,5
"TA23 0",25,4,15,6
"TA24 5",1054,414,601,39
"TA24 6",51,33,12,6
"TA24 7",45,7,28,10
"TA24 8",109,57,28,24
"TA3  5",82,76,3,3
"TA3  6",43,40,3,0
"TA3  7",85,81,1,3
"TA4  1",39,31,6,2
"TA4  2",82,73,8,1
"TA4  3",66,56,6,4
"TA4  4",78,78,0,0
"TA5  1",11,4,3,4
"TA5  2",166,155,2,9
"TA6  3",105,97,2,6
"TA6  4",61,56,5,0
"TA6  5",42,41,1,0
"TA6  6",86,86,0,0
"TA6  7",161,153,8,0
"TA7  0",6,5,1,0
"TA7  8",13,6,4,3
"TA7  9",105,96,6,3
"TA8  1",130,118,8,4
"TA8  2",318,251,53,14
"TA9  3",43,35,2,6
"TA9  4",126,117,5,4
"TD12 4",15,13,2,0
"TD15 1",162,145,10,7
"TD15 2",206,188,6,12
"TF1  1",122,107,4,11
"TF1  2",35,32,3,0
"TF1  3",117,116,1,0
"TF1  5",18,14,0,4
"TF1  6",20,17,3,0
"TF10 7",158,153,3,2
"TF10 8",746,736,3,7
"TF10 9",120,116,1,3
"TF11 8",47,38,9,0
"TF11 9",11,10,1,0
"TF12 5",26,14,7,5
"TF13 6",65,56,7,2
"TF2  0",0,0,0,0
"TF2  6",66,62,4,0
"TF2  7",28,27,1,0
"TF2  8",125,121,3,1
"TF2  9",112,102,2,8
"TF3  1",20,18,2,0
"TF3  2",6,4,1,1
"TF3  5",2,0,2,0
"TF4  2",45,42,0,3
"TF4  3",124,114,1,9
"TF5  0",4,4,0,0
"TF6  5",28,23,3,2
"TF6  6",132,113,5,14
"TF7  4",3,2,1,0
"TF7  5",98,93,5,0
"TF8  7",74,56,12,6
"TF9  1",27,26,0,1
"TF9  2",492,455,7,30
"TF9  3",426,411,9,6
"TF9  4",65,61,0,4
"TN1  1",21,20,1,0
"TN1  2",77,74,1,2
"TN10 3",53,49,0,4
"TN10 4",8,7,1,0
"TN11 0",115,110,3,2
"TN11 8",2,0,2,0
"TN11 9",70,70,0,0
"TN12 0",142,94,12,36
"TN12 5",20,18,2,0
"TN12 6",50,49,0,1
"TN12 7",1,0,1,0
"TN12 8",0,0,0,0
"TN12 9",2,0,0,2
"TN13 1",477,471,4,2
"TN13 2",161,138,14,9
"TN13 3",114,109,2,3
"TN14 5",33,32,0,1
"TN14 6",0,0,0,0
"TN14 7",0,0,0,0
"TN15 0",59,59,0,0
"TN15 6",83,65,6,12
"TN15 7",58,45,1,12
"TN15 8",40,35,0,5
"TN15 9",6,3,3,0
"TN16 1",16,11,0,5
"TN16 2",47,46,1,0
"TN16 3",7,7,0,0
"TN17 1",224,220,4,0
"TN17 2",87,77,10,0
"TN17 3",280,272,8,0
"TN17 4",514,492,15,7
"TN18 4",35,27,8,0
"TN18 5",28,21,5,2
"TN19 7",120,95,16,9
"TN2  3",80,75,3,2
"TN2  4",364,349,5,10
"TN2  5",156,134,16,6
"TN20 6",98,89,8,1
"TN21 0",169,150,6,13
"TN21 8",62,62,0,0
"TN21 9",26,26,0,0
"TN22 1",25,22,0,3
"TN22 2",7,7,0,0
"TN22 3",184,135,43,6
"TN22 4",85,74,7,4
"TN22 5",62,47,7,8
"TN23 1",2,2,0,0
"TN23 3",105,91,5,9
"TN23 4",6,6,0,0
"TN23 5",66,63,0,3
"TN23 6",0,0,0,0
"TN23 7",0,0,0,0
"TN24 0",114,100,3,11
"TN24 8",235,215,14,6
"TN24 9",52,48,3,1
"TN25 4",0,0,0,0
"TN25 5",27,22,0,5
"TN25 6",76,76,0,0
"TN25 7",19,19,0,0
"TN26 1",27,27,0,0
"TN26 2",40,38,0,2
"TN26 3",70,70,0,0
"TN27 0",40,40,0,0
"TN27 8",4,0,0,4
"TN27 9",12,10,1,1
"TN28 8",219,212,1,6
"TN29 0",115,113,1,1
"TN29 9",76,76,0,0
"TN3  0",90,80,8,2
"TN3  8",0,0,0,0
"TN3  9",52,38,4,10
"TN30 6",94,86,2,6
"TN30 7",4,0,2,2
"TN31 6",124,123,1,0
"TN31 7",46,23,21,2
"TN32 5",388,376,0,12
"TN33 0",146,131,6,9
"TN33 9",122,101,16,5
"TN34 1",65,48,10,7
"TN34 2",213,206,4,3
"TN34 3",132,108,3,21
"TN35 4",156,149,7,0
"TN35 5",93,81,6,6
"TN36 4",3,0,0,3
"TN37 6",245,236,3,6
"TN37 7",116,95,12,9
"TN38 0",822,747,28,47
"TN38 8",0,0,0,0
"TN38 9",13,10,3,0
"TN39 3",189,179,4,6
"TN39 4",142,133,6,3
"TN39 5",58,49,0,9
"TN4  0",107,102,4,1
"TN4  8",181,147,19,15
"TN4  9",80,76,4,0
"TN40 1",428,414,6,8
"TN40 2",449,424,3,22
"TN5  6",62,42,13,7
"TN5  7",71,59,12,0
"TN6  1",251,222,5,24
"TN6  2",10,8,1,1
"TN6  3",400,391,4,5
"TN7  4",34,0,33,1
"TN8  5",96,93,3,0
"TN8  6",0,0,0,0
"TN8  7",23,1,11,11
"TN9  1",497,428,19,50
"TN9  2",44,44,0,0
"TQ1  1",251,174,57,20
"TQ1  2",169,147,18,4
"TQ1  3",471,363,60,48
"TQ1  4",228,184,29,15
"TQ10 9",80,74,4,2
"TQ11 0",116,103,8,5
"TQ12 1",299,262,4,33
"TQ12 2",34,21,6,7
"TQ12 3",83,81,0,2
"TQ12 4",0,0,0,0
"TQ12 5",65,61,1,3
"TQ12 6",901,876,7,18
"TQ13 0",66,60,2,4
"TQ13 7",61,37,14,10
"TQ13 8",78,51,19,8
"TQ13 9",92,71,16,5
"TQ14 0",36,23,10,3
"TQ14 8",297,261,23,13
"TQ14 9",272,241,16,15
"TQ2  5",375,104,170,101
"TQ2  6",162,95,39,28
"TQ2  7",145,59,80,6
"TQ2  8",24,24,0,0
"TQ3  1",48,46,2,0
"TQ3  2",333,271,32,30
"TQ3  3",116,115,1,0
"TQ4  5",147,135,10,2
"TQ4  6",300,134,98,68
"TQ4  7",2,1,1,0
"TQ5  0",118,113,2,3
"TQ5  8",77,65,7,5
"TQ5  9",94,70,19,5
"TQ6  0",270,258,5,7
"TQ6  9",22,22,0,0
"TQ7  1",82,82,0,0
"TQ7  2",1,0,1,0
"TQ7  3",89,43,42,4
"TQ7  4",33,30,2,1
"TQ8  8",51,26,24,1
"TQ9  5",52,44,8,0
"TQ9  6",81,78,0,3
"TQ9  7",13,2,9,2
"TR1  1",0,0,0,0
"TR1  2",2,2,0,0
"TR1  3",131,112,12,7
"TR10 8",0,0,0,0
"TR10 9",1153,1153,0,0
"TR11 2",0,0,0,0
"TR11 3",2,2,0,0
"TR11 4",0,0,0,0
"TR11 5",53,44,6,3
"TR12 6",29,22,6,1
"TR12 7",738,727,4,7
"TR13 0",9,0,6,3
"TR13 8",40,31,6,3
"TR13 9",0,0,0,0
"TR14 0",32,24,8,0
"TR14 7",9,0,7,2
"TR14 8",64,58,2,4
"TR14 9",0,0,0,0
"TR15 1",85,75,8,2
"TR15 2",130,120,4,6
"TR15 3",3,3,0,0
"TR16 4",0,0,0,0
"TR16 5",5,1,4,0
"TR16 6",32,29,0,3
"TR17 0",57,40,10,7
"TR18 2",74,38,33,3
"TR18 3",128,96,9,23
"TR18 4",182,111,47,24
"TR18 5",52,41,5,6
"TR19 6",77,67,3,7
"TR19 7",130,100,18,12
"TR2  4",30,29,0,1
"TR2  5",6,6,0,0
"TR20 8",120,104,9,7
"TR20 9",95,78,16,1
"TR21 0",76,13,56,7
"TR22 0",1,0,1,0
"TR24 0",0,0,0,0
"TR25 0",3,0,3,0
"TR26 1",67,54,7,6
"TR26 2",251,164,59,28
"TR26 3",118,97,14,7
"TR27 4",178,148,17,13
"TR27 5",125,118,4,3
"TR27 6",15,9,4,2
"TR3  6",0,0,0,0
"TR3  7",17,15,2,0
"TR4  8",0,0,0,0
"TR4  9",0,0,0,0
"TR5  0",0,0,0,0
"TR6  0",0,0,0,0
"TR7  1",254,171,45,38
"TR7  2",124,83,27,14
"TR7  3",187,138,29,20
"TR8  4",227,177,36,14
"TR8  5",14,3,4,7
"TR9  6",85,74,8,3
"TS1  1",0,0,0,0
"TS1  2",355,355,0,0
"TS1  3",711,706,4,1
"TS1  4",1,1,0,0
"TS1  5",0,0,0,0
"TS10 1",135,125,9,1
"TS10 2",44,44,0,0
"TS10 3",43,39,0,4
"TS10 4",130,117,0,13
"TS10 5",0,0,0,0
"TS11 6",30,30,0,0
"TS11 7",0,0,0,0
"TS11 8",9,9,0,0
"TS12 1",241,227,4,10
"TS12 2",32,31,1,0
"TS12 3",26,22,1,3
"TS13 4",82,80,0,2
"TS13 5",10,0,5,5
"TS14 6",95,89,2,4
"TS14 7",93,77,10,6
"TS14 8",66,42,1,23
"TS15 0",0,0,0,0
"TS15 9",328,319,0,9
"TS16 0",106,82,9,15
"TS16 9",0,0,0,0
"TS17 0",21,17,0,4
"TS17 5",37,33,0,4
"TS17 6",598,577,0,21
"TS17 7",38,38,0,0
"TS17 8",44,43,1,0
"TS17 9",71,66,0,5
"TS18 1",52,51,0,1
"TS18 2",1003,956,5,42
"TS18 3",398,391,2,5
"TS18 4",57,50,0,7
"TS18 5",55,48,3,4
"TS19 0",63,60,0,3
"TS19 7",93,83,8,2
"TS19 8",89,84,2,3
"TS19 9",27,27,0,0
"TS2  1",0,0,0,0
"TS20 1",20,19,0,1
"TS20 2",197,195,1,1
"TS21 1",81,78,0,3
"TS21 2",0,0,0,0
"TS21 3",61,54,2,5
"TS21 4",0,0,0,0
"TS22 5",38,25,0,13
"TS23 1",93,86,0,7
"TS23 2",14,12,2,0
"TS23 3",163,147,2,14
"TS23 4",0,0,0,0
"TS24 0",106,103,1,2
"TS24 7",0,0,0,0
"TS24 8",9,8,0,1
"TS24 9",89,80,2,7
"TS25 1",134,104,13,17
"TS25 2",36,35,0,1
"TS25 3",6,6,0,0
"TS25 4",128,124,0,4
"TS25 5",125,115,2,8
"TS26 0",83,82,1,0
"TS26 8",7,7,0,0
"TS26 9",176,170,1,5
"TS27 3",0,0,0,0
"TS27 4",48,43,0,5
"TS28 5",20,20,0,0
"TS29 6",72,63,5,4
"TS3  0",50,48,0,2
"TS3  6",0,0,0,0
"TS3  7",76,68,5,3
"TS3  8",36,32,0,4
"TS3  9",8,8,0,0
"TS4  2",128,123,2,3
"TS4  3",289,287,2,0
"TS5  4",8,8,0,0
"TS5  5",86,84,1,1
"TS5  6",132,119,0,13
"TS5  7",6,6,0,0
"TS5  8",7,5,2,0
"TS6  0",21,21,0,0
"TS6  6",77,75,2,0
"TS6  7",0,0,0,0
"TS6  8",83,72,1,10
"TS6  9",41,38,0,3
"TS7  0",49,44,2,3
"TS7  8",40,40,0,0
"TS7  9",0,0,0,0
"TS8  0",141,135,0,6
"TS8  9",133,132,0,1
"TS9  5",0,0,0,0
"TS9  6",1,0,1,0
"TS9  7",1,1,0,0
"TW1  1",12,10,0,2
"TW1  2",137,130,0,7
"TW1  3",20,20,0,0
"TW1  4",843,824,15,4
"TW10 5",0,0,0,0
"TW10 6",375,350,19,6
"TW10 7",21,21,0,0
"TW11 0",110,88,6,16
"TW11 8",9,9,0,0
"TW11 9",77,56,21,0
"TW12 1",115,107,0,8
"TW12 2",117,104,0,13
"TW12 3",41,41,0,0
"TW13 4",168,159,1,8
"TW13 5",0,0,0,0
"TW13 6",17,17,0,0
"TW13 7",0,0,0,0
"TW14 0",0,0,0,0
"TW14 8",18,17,0,1
"TW14 9",152,110,28,14
"TW15 1",0,0,0,0
"TW15 2",56,54,1,1
"TW15 3",282,277,0,5
"TW16 5",0,0,0,0
"TW16 6",86,75,11,0
"TW16 7",89,87,0,2
"TW17 0",0,0,0,0
"TW17 8",46,33,0,13
"TW17 9",0,0,0,0
"TW18 1",119,106,4,9
"TW18 2",0,0,0,0
"TW18 3",4,1,3,0
"TW18 4",31,28,3,0
"TW19 5",7,7,0,0
"TW19 6",0,0,0,0
"TW19 7",52,48,3,1
"TW2  5",0,0,0,0
"TW2  6",52,51,1,0
"TW2  7",152,144,0,8
"TW20 0",2399,2378,19,2
"TW20 8",148,113,35,0
"TW20 9",0,0,0,0
"TW3  1",31,30,1,0
"TW3  2",19,19,0,0
"TW3  3",94,90,0,4
"TW3  4",4,3,1,0
"TW4  5",9,9,0,0
"TW4  6",189,188,1,0
"TW4  7",33,30,2,1
"TW5  0",84,78,5,1
"TW5  9",1,0,1,0
"TW7  4",38,38,0,0
"TW7  5",8,8,0,0
"TW7  6",126,118,1,7
"TW7  7",0,0,0,0
"TW8  0",1,1,0,0
"TW8  8",79,78,0,1
"TW8  9",796,794,1,1
"TW9  1",6,6,0,0
"TW9  2",10,10,0,0
"TW9  3",100,94,1,5
"TW9  4",0,0,0,0
"UB1  1",182,150,2,30
"UB1  2",290,278,2,10
"UB1  3",672,590,69,13
"UB10 0",62,61,0,1
"UB10 8",49,49,0,0
"UB10 9",19,17,2,0
"UB2  4",238,159,68,11
"UB2  5",9,9,0,0
"UB3  1",192,190,0,2
"UB3  2",109,106,0,3
"UB3  3",12,10,2,0
"UB3  4",16,10,6,0
"UB3  5",4,0,4,0
"UB4  0",37,36,1,0
"UB4  8",69,69,0,0
"UB4  9",13,11,2,0
"UB5  4",12,12,0,0
"UB5  5",12,12,0,0
"UB5  6",0,0,0,0
"UB6  0",107,78,0,29
"UB6  7",0,0,0,0
"UB6  8",42,35,7,0
"UB6  9",113,71,32,10
"UB7  0",283,265,7,11
"UB7  7",151,146,2,3
"UB7  8",9,9,0,0
"UB7  9",58,19,39,0
"UB8  1",41,37,0,4
"UB8  2",1071,1071,0,0
"UB8  3",3358,3333,8,17
"UB9  4",0,0,0,0
"UB9  5",89,84,0,5
"UB9  6",218,154,47,17
"W10  4",60,56,2,2
"W10  5",11,11,0,0
"W10  6",137,129,6,2
"W11  1",71,65,6,0
"W11  2",11,11,0,0
"W11  3",166,139,26,1
"W11  4",6,5,1,0
"W12  0",356,328,8,20
"W12  7",10,10,0,0
"W12  8",56,55,1,0
"W12  9",275,249,9,17
"W13  0",61,54,3,4
"W13  8",67,65,0,2
"W13  9",92,82,1,9
"W14  0",77,69,8,0
"W14  8",11,10,1,0
"W14  9",77,75,1,1
"W1B  1",0,0,0,0
