
"QS302EW - General health"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: General health","Very good health","Good health","Fair health","Bad health","Very bad health"
"CT8  8",7338,2843,2627,1232,483,153
"CT9  1",6759,2601,2419,1177,423,139
"CT9  2",10779,4290,3773,1820,666,230
"CT9  3",11077,4311,3928,1895,721,222
"CT9  4",3862,1580,1328,650,222,82
"CT9  5",10977,4769,3822,1622,600,164
"CV1  1",437,235,142,37,15,8
"CV1  2",6764,3575,2236,671,225,57
"CV1  3",5001,2463,1630,600,252,56
"CV1  4",8165,3646,2779,1191,405,144
"CV1  5",10814,5365,3724,1124,464,137
"CV10 0",12587,5461,4475,1889,598,164
"CV10 7",11078,4990,3940,1501,509,138
"CV10 8",11974,5061,4306,1770,633,204
"CV10 9",14244,6508,5136,1838,591,171
"CV11 4",12061,5328,4226,1754,591,162
"CV11 5",11114,4652,3973,1703,605,181
"CV11 6",16253,8174,5589,1901,438,151
"CV12 0",9099,4022,3079,1396,441,161
"CV12 8",10682,4432,3860,1637,608,145
"CV12 9",11825,4766,4150,2011,673,225
"CV13 0",6402,2975,2318,826,224,59
"CV13 6",4312,2121,1483,516,140,52
"CV2  1",12001,4900,3957,1984,910,250
"CV2  2",12524,5657,4440,1678,564,185
"CV2  3",13010,5926,4638,1677,621,148
"CV2  4",13683,6448,4735,1655,623,222
"CV2  5",11988,5514,4224,1576,515,159
"CV21 1",9843,4563,3564,1251,349,116
"CV21 2",7990,3534,2881,1125,358,92
"CV21 3",10227,4818,3679,1276,354,100
"CV21 4",7530,3258,2708,1095,382,87
"CV22 5",9369,4723,3269,1063,253,61
"CV22 6",10470,4500,3869,1545,419,137
"CV22 7",15494,7686,5446,1761,474,127
"CV23 0",9612,5011,3197,1061,272,71
"CV23 8",5613,2606,2059,694,214,40
"CV23 9",6611,3141,2284,863,263,60
"CV3  1",8880,4179,2974,1141,450,136
"CV3  2",16357,7418,5764,2268,710,197
"CV3  3",7874,3243,2652,1236,559,184
"CV3  4",4249,1772,1518,670,220,69
"CV3  5",13479,6075,4661,1923,625,195
"CV3  6",12484,5946,4478,1572,390,98
"CV31 1",12171,6150,4193,1313,375,140
"CV31 2",12287,5890,4258,1568,434,137
"CV31 3",7072,3405,2419,852,312,84
"CV32 4",3149,1692,982,336,113,26
"CV32 5",8230,4381,2617,895,252,85
"CV32 6",7490,4000,2406,814,189,81
"CV32 7",13827,6437,4835,1881,540,134
"CV33 9",6103,2972,2159,753,168,51
"CV34 4",4831,2170,1766,651,192,52
"CV34 5",14218,6624,5052,1890,518,134
"CV34 6",12296,6906,3971,1056,274,89
"CV35 0",5786,2837,1927,767,195,60
"CV35 7",5310,3083,1650,437,110,30
"CV35 8",5676,2877,2011,591,154,43
"CV35 9",7837,3769,2801,932,269,66
"CV36 4",6496,3001,2337,889,216,53
"CV36 5",2790,1323,998,361,86,22
"CV37 0",6733,3274,2356,797,244,62
"CV37 6",6679,2995,2380,984,254,66
"CV37 7",8658,4759,2799,814,228,58
"CV37 8",6969,3537,2376,790,210,56
"CV37 9",11959,5641,4318,1489,411,100
"CV4  7",8878,5043,2939,693,155,48
"CV4  8",8015,3889,2663,972,363,128
"CV4  9",16477,7600,5622,2217,798,240
"CV47 0",2213,946,842,301,96,28
"CV47 1",4354,2043,1590,532,145,44
"CV47 2",5145,2674,1761,567,111,32
"CV47 7",751,425,225,77,20,4
"CV47 8",2491,1217,928,256,72,18
"CV47 9",2013,964,681,297,55,16
"CV5  6",11915,6213,3933,1304,366,99
"CV5  7",11931,5414,4331,1647,424,115
"CV5  8",12346,5980,4304,1481,448,133
"CV5  9",9776,4378,3507,1392,382,117
"CV6  1",13817,6499,4709,1819,627,163
"CV6  2",12131,5408,4355,1680,523,165
"CV6  3",10834,4855,3718,1511,575,175
"CV6  4",13098,5793,4574,1865,663,203
"CV6  5",13469,5795,4792,1850,791,241
"CV6  6",10696,4914,3706,1415,501,160
"CV6  7",12477,5431,4314,1810,723,199
"CV7  7",10748,5547,3524,1208,365,104
"CV7  8",8542,3784,2969,1154,467,168
"CV7  9",8788,3754,3059,1337,513,125
"CV8  1",11021,5551,3702,1364,323,81
"CV8  2",13239,6801,4553,1417,351,117
"CV8  3",6771,3298,2367,841,210,55
"CV9  1",5796,2382,2047,922,351,94
"CV9  2",8988,3946,3088,1360,455,139
"CV9  3",6420,2944,2222,898,281,75
"CW1  2",1508,651,558,213,66,20
"CW1  3",17346,7869,5954,2414,880,229
"CW1  4",11655,5517,3884,1594,515,145
"CW1  5",10723,5116,3627,1460,384,136
"CW1  6",1147,502,378,204,51,12
"CW10 0",7597,3628,2590,963,306,110
"CW10 9",6764,3421,2182,822,255,84
"CW11 1",7236,3429,2390,1030,320,67
"CW11 2",1889,875,676,246,72,20
"CW11 3",7181,3898,2343,697,188,55
"CW11 4",6309,2995,2174,829,256,55
"CW12 1",3872,1669,1341,619,194,49
"CW12 2",4934,2255,1739,710,183,47
"CW12 3",10059,4918,3393,1281,361,106
"CW12 4",10360,4815,3632,1359,437,117
"CW2  5",8061,3979,2668,1035,293,86
"CW2  6",10648,5217,3723,1231,394,83
"CW2  7",9284,4324,3333,1122,385,120
"CW2  8",13127,5902,4534,1876,652,163
"CW3  0",2755,1247,973,370,131,34
"CW3  9",6324,2891,2203,895,269,66
"CW4  7",5823,2955,1973,664,183,48
"CW4  8",3555,1903,1169,359,84,40
"CW5  5",7751,3439,2549,1235,414,114
"CW5  6",7412,3533,2581,971,250,77
"CW5  7",9654,5184,3023,1084,267,96
"CW5  8",4464,2343,1362,530,190,39
"CW6  0",7005,3572,2257,899,214,63
"CW6  9",5155,2802,1649,541,122,41
"CW7  1",9340,4117,3095,1397,592,139
"CW7  2",10816,4979,3600,1508,574,155
"CW7  3",9459,4242,3328,1287,472,130
"CW7  4",1839,881,590,266,75,27
"CW8  1",8686,4168,2928,1115,389,86
"CW8  2",9087,4542,3025,1158,282,80
"CW8  3",7139,3154,2420,1075,400,90
"CW8  4",10378,5155,3442,1315,358,108
"CW9  5",3371,1365,1188,518,235,65
"CW9  6",5661,2761,1950,691,215,44
"CW9  7",10771,4765,3676,1626,520,184
"CW9  8",13344,7098,4224,1422,447,153
"DA1  1",9614,4717,3473,1079,284,61
"DA1  2",11763,5587,4122,1480,452,122
"DA1  3",12006,6121,4092,1315,378,100
"DA1  4",8370,3688,3041,1172,365,104
"DA1  5",10934,5161,3739,1455,470,109
"DA10 0",6746,3109,2357,923,285,72
"DA11 0",8909,4045,3179,1218,372,95
"DA11 7",9009,4094,3110,1297,395,113
"DA11 8",10962,4887,3775,1667,503,130
"DA11 9",9179,4345,3223,1088,387,136
"DA12 1",6711,3222,2200,929,286,74
"DA12 2",8904,4281,3151,1040,328,104
"DA12 3",2356,1143,793,303,89,28
"DA12 4",14437,6514,5152,2016,591,164
"DA12 5",14984,7015,5222,1966,627,154
"DA13 0",9007,4455,3201,1031,259,61
"DA13 9",5442,2546,1915,732,174,75
"DA14 4",9774,4622,3500,1197,350,105
"DA14 5",4193,1814,1420,663,225,71
"DA14 6",7216,3318,2343,1106,351,98
"DA15 7",5408,2770,1730,634,226,48
"DA15 8",14900,7314,5174,1750,510,152
"DA15 9",9119,4619,3186,993,253,68
"DA16 1",12574,6167,4411,1457,427,112
"DA16 2",14284,6868,5198,1665,425,128
"DA16 3",9054,3976,3258,1305,404,111
"DA17 5",10470,5037,3588,1313,408,124
"DA17 6",6634,3079,2298,854,315,88
"DA18 4",4939,2426,1592,609,230,82
"DA2  6",9647,4579,3355,1253,352,108
"DA2  7",11704,5568,4019,1564,414,139
"DA2  8",1643,721,621,223,62,16
"DA3  7",7825,3556,2759,1078,319,113
"DA3  8",8923,4466,3168,993,234,62
"DA4  0",3133,1669,993,355,100,16
"DA4  9",5929,2868,2090,716,208,47
"DA5  1",6994,3421,2358,900,233,82
"DA5  2",5262,2557,1866,640,145,54
"DA5  3",8568,4278,2967,1009,260,54
"DA6  7",4244,1911,1526,612,143,52
"DA6  8",5602,2715,1993,677,170,47
"DA7  4",12266,5682,4384,1623,441,136
"DA7  5",12231,5684,4315,1679,439,114
"DA7  6",11043,5203,4000,1374,343,123
"DA8  1",13375,6621,4598,1529,475,152
"DA8  2",10921,5259,3562,1461,491,148
"DA8  3",10263,4628,3599,1396,511,129
"DA9  9",13089,6865,4542,1204,345,133
"DE1  1",5044,2207,1892,610,263,72
"DE1  2",2422,915,805,454,187,61
"DE1  3",6341,3069,2216,720,268,68
"DE11 0",15296,6600,5327,2315,834,220
"DE11 7",9745,4267,3468,1427,460,123
"DE11 8",6022,2956,2019,767,215,65
"DE11 9",12746,5782,4578,1691,543,152
"DE12 6",7566,3288,2680,1181,331,86
"DE12 7",9101,4258,3199,1181,354,109
"DE12 8",3795,1650,1348,578,177,42
"DE13 0",18922,8817,6749,2484,676,196
"DE13 7",4128,2005,1417,526,130,50
"DE13 8",7962,3876,2735,1022,249,80
"DE13 9",9584,4428,3363,1365,326,102
"DE14 1",2468,1085,877,348,127,31
"DE14 2",12501,5427,4503,1802,610,159
"DE14 3",13875,6396,5102,1703,496,178
"DE15 0",9676,4284,3482,1388,434,88
"DE15 9",14516,6322,5127,2187,703,177
"DE21 2",10435,5495,3567,1070,256,47
"DE21 4",13248,5760,4608,2045,656,179
"DE21 5",3623,1758,1253,472,104,36
"DE21 6",17333,7237,6120,2734,961,281
"DE21 7",12377,5307,4449,1890,569,162
"DE22 1",6464,3219,2031,874,266,74
"DE22 2",13622,6428,4745,1950,412,87
"DE22 3",17663,8006,6435,2234,761,227
"DE22 4",7862,3205,2746,1291,479,141
"DE22 5",933,525,290,89,22,7
"DE23 1",8516,3632,2981,1359,445,99
"DE23 2",3042,1341,1084,458,129,30
"DE23 3",6045,3315,1931,584,161,54
"DE23 4",2686,1323,939,314,91,19
"DE23 6",18975,8735,6581,2527,879,253
"DE23 8",20636,8675,7361,3026,1167,407
"DE24 0",15565,6336,5534,2615,823,257
"DE24 1",1010,571,347,74,14,4
"DE24 3",6249,2889,2279,787,221,73
"DE24 5",1287,669,462,116,33,7
"DE24 8",16740,7049,5978,2557,925,231
"DE24 9",13672,5679,4696,2250,821,226
"DE3  0",7926,3883,2779,978,226,60
"DE3  9",9082,4270,3237,1186,291,98
"DE4  2",9049,4271,3112,1245,334,87
"DE4  3",12089,5324,4282,1790,528,165
"DE4  4",6817,3055,2414,1019,246,83
"DE4  5",5211,2413,1803,762,190,43
"DE45 1",8676,3967,2975,1282,343,109
"DE5  3",13279,5539,4642,2183,719,196
"DE5  8",3907,1845,1331,544,141,46
"DE5  9",4847,1975,1734,791,277,70
"DE55 1",6751,2924,2441,1013,299,74
"DE55 2",7161,2907,2507,1179,468,100
"DE55 3",3781,1773,1374,470,126,38
"DE55 4",8558,3546,3047,1358,490,117
"DE55 5",8176,3458,2737,1367,491,123
"DE55 6",7312,3030,2486,1195,467,134
"DE55 7",9485,3679,3277,1752,600,177
"DE56 0",12408,6002,4270,1565,471,100
"DE56 1",13418,6084,4709,1844,613,168
"DE56 2",9172,4203,3202,1301,376,90
"DE56 4",5376,2885,1680,613,149,49
"DE6  1",11115,5389,3837,1426,372,91
"DE6  2",5392,2704,1855,649,144,40
"DE6  3",3518,1728,1221,421,103,45
"DE6  4",1060,505,365,140,41,9
"DE6  5",4508,2133,1657,566,128,24
"DE65 5",11968,6697,3808,1116,272,75
"DE65 6",11488,5785,3786,1436,367,114
"DE7  4",12656,5443,4330,2069,633,181
"DE7  5",9980,4118,3704,1546,475,137
"DE7  6",10477,4647,3702,1577,415,136
"DE7  8",13685,5400,4767,2461,843,214
"DE7  9",3118,1757,1002,259,79,21
"DE72 2",4120,1958,1451,544,131,36
"DE72 3",16105,7307,5706,2271,619,202
"DE73 5",4815,2813,1455,424,97,26
"DE73 6",6566,3281,2279,743,199,64
"DE73 7",1799,910,602,220,55,12
"DE73 8",5872,2889,1986,762,178,57
"DE74 2",11491,5459,4007,1432,447,146
"DE75 7",18713,8027,6712,2848,878,248
"DH1  1",9337,4293,3129,1414,406,95
"DH1  2",8622,3951,2919,1261,371,120
"DH1  3",9701,5873,2919,677,183,49
"DH1  4",7661,4799,2117,542,160,43
"DH1  5",14544,6521,4999,2116,696,212
"DH2  1",10749,4868,3605,1569,558,149
"DH2  2",10239,4218,3395,1732,692,202
"DH2  3",9439,4141,3210,1461,498,129
"DH3  1",7331,3123,2460,1115,458,175
"DH3  2",5578,2186,1949,966,367,110
"DH3  3",6677,2994,2246,1057,303,77
"DH3  4",6318,2736,2212,980,315,75
"DH4  4",8240,3598,2754,1235,524,129
"DH4  5",6848,2708,2301,1227,490,122
"DH4  6",8944,3926,2919,1354,592,153
"DH4  7",9439,4486,3000,1258,556,139
"DH5  0",7166,2891,2280,1256,564,175
"DH5  8",5870,2450,2032,931,372,85
"DH5  9",6498,2382,2159,1264,513,180
"DH6  1",6792,3057,2185,1068,374,108
"DH6  2",9222,3756,2793,1673,738,262
"DH6  3",5601,2086,1728,1140,500,147
"DH6  4",7027,2993,2308,1165,443,118
"DH6  5",4750,2010,1663,675,337,65
"DH7  0",5646,2389,2003,879,297,78
"DH7  6",8411,3649,2847,1271,497,147
"DH7  7",7936,3506,2594,1184,528,124
"DH7  8",9980,4192,3372,1610,627,179
"DH7  9",9402,3980,3076,1537,610,199
"DH8  0",6805,3054,2322,1032,305,92
"DH8  5",6301,2821,2148,892,354,86
"DH8  6",6940,2912,2354,1114,435,125
"DH8  7",9034,3812,2980,1530,569,143
"DH8  8",6616,2728,2198,1120,454,116
"DH8  9",2855,1323,972,425,107,28
"DH9  0",4757,1889,1666,757,347,98
"DH9  6",10256,3904,3397,1812,854,289
"DH9  7",7979,2902,2883,1408,577,209
"DH9  8",6866,2816,2380,1113,429,128
"DH9  9",6834,2712,2333,1204,441,144
"DL1  1",5013,1851,1845,872,333,112
"DL1  2",11974,4741,4271,2029,729,204
"DL1  3",8602,3864,3190,1148,307,93
"DL1  4",14290,6140,4979,2147,776,248
"DL1  5",6492,2834,2270,925,347,116
"DL10 4",5249,2384,1776,819,211,59
"DL10 5",3414,1628,1173,463,129,21
"DL10 6",2858,1367,932,400,130,29
"DL10 7",6903,3530,2307,797,212,57
"DL11 6",2030,989,704,273,44,20
"DL11 7",3278,1635,1189,355,85,14
"DL12 0",2494,1151,831,373,106,33
"DL12 8",6802,3045,2285,1043,332,97
"DL12 9",3111,1514,1154,346,80,17
"DL13 1",1481,587,557,237,81,19
"DL13 2",3100,1317,1042,525,170,46
"DL13 3",3119,1426,1085,445,126,37
"DL13 4",3154,1256,1087,532,225,54
"DL13 5",3304,1293,1165,571,222,53
"DL14 0",6311,2837,2184,918,284,88
"DL14 6",11580,4502,3900,2061,898,219
"DL14 7",4682,1878,1637,794,289,84
"DL14 8",6803,2763,2304,1106,495,135
"DL14 9",7696,3124,2580,1227,602,163
"DL15 0",8730,3630,2882,1428,603,187
"DL15 8",5297,2090,1782,913,397,115
"DL15 9",8470,3582,2833,1347,537,171
"DL16 6",11219,4550,3897,1844,701,227
"DL16 7",8597,3678,2884,1364,504,167
"DL17 0",4954,1908,1761,859,322,104
"DL17 8",8942,3372,2923,1725,721,201
"DL17 9",3776,1391,1323,691,288,83
"DL2  1",5868,2919,1988,731,182,48
"DL2  2",7198,3683,2407,846,205,57
"DL2  3",3914,1765,1400,597,123,29
"DL3  0",15145,6869,5407,2000,691,178
"DL3  6",8624,3740,3189,1187,396,112
"DL3  7",4094,2080,1305,538,130,41
"DL3  8",7742,3748,2591,1088,230,85
"DL3  9",9107,3827,3298,1446,410,126
"DL4  1",4942,1828,1701,958,354,101
"DL4  2",5034,1858,1665,979,416,116
"DL5  4",9515,4001,3346,1450,563,155
"DL5  5",6185,2367,2138,1134,429,117
"DL5  6",3997,1879,1399,527,142,50
"DL5  7",9643,4251,3251,1417,559,165
"DL6  1",8869,3841,3225,1313,384,106
"DL6  2",3981,1842,1440,525,133,41
"DL6  3",2665,1325,918,344,62,16
"DL7  0",3135,1547,1097,381,85,25
"DL7  8",7726,3616,2698,1055,269,88
"DL7  9",5357,2990,1714,470,133,50
"DL8  1",4562,2146,1607,610,151,48
"DL8  2",4514,2136,1594,571,175,38
"DL8  3",2928,1350,1106,390,63,19
"DL8  4",3071,1375,1125,433,109,29
"DL8  5",3575,1419,1426,583,120,27
"DL9  3",7423,4831,2163,318,88,23
"DL9  4",8436,4746,2532,835,247,76
"DN1  1",307,116,125,46,18,2
"DN1  2",6392,2540,2482,908,366,96
"DN1  3",2036,644,710,422,203,57
"DN10 4",5286,2300,1953,759,217,57
"DN10 5",1631,779,567,212,62,11
"DN10 6",5169,2375,1767,755,210,62
"DN11 0",13537,5918,4435,2113,854,217
"DN11 8",8294,3374,2874,1382,521,143
"DN11 9",6521,2839,2340,990,270,82
"DN12 1",7856,3191,2767,1243,495,160
"DN12 2",5928,2642,1945,913,337,91
"DN12 3",5803,2409,1901,975,398,120
"DN12 4",4532,1690,1257,872,536,177
"DN14 0",7301,3412,2569,980,256,84
"DN14 5",7850,3278,2833,1176,405,158
"DN14 6",12960,5619,4717,1926,530,168
"DN14 7",7172,3424,2484,959,245,60
"DN14 8",4824,2149,1731,683,205,56
"DN14 9",6135,2819,2196,829,227,64
"DN15 0",1067,456,379,148,62,22
"DN15 6",5106,1983,1939,825,278,81
"DN15 7",8581,3881,3091,1172,322,115
"DN15 8",12187,5353,4503,1666,526,139
"DN15 9",9662,4137,3549,1470,390,116
"DN16 1",9044,3763,3307,1380,483,111
"DN16 2",8659,3454,2891,1596,540,178
"DN16 3",13964,6422,5013,1866,514,149
"DN17 1",12004,5087,4391,1792,571,163
"DN17 2",11511,4814,4189,1811,560,137
"DN17 3",7315,3226,2532,1105,370,82
"DN17 4",6358,2830,2238,939,282,69
"DN18 5",8684,3736,3122,1296,407,123
"DN18 6",3033,1301,1146,432,121,33
"DN19 7",6282,2898,2176,860,286,62
"DN2  4",8183,3532,2765,1310,451,125
"DN2  5",8087,3491,2936,1209,351,100
"DN2  6",8281,3524,2832,1311,481,133
"DN20 0",6875,3009,2516,985,288,77
"DN20 8",6812,2873,2487,1065,317,70
"DN20 9",5500,2458,1979,783,223,57
"DN21 1",11713,4826,4244,1865,614,164
"DN21 2",6795,2830,2434,1097,359,75
"DN21 3",7346,3230,2660,1052,314,90
"DN21 4",5138,2364,1870,669,192,43
"DN21 5",6229,2742,2252,909,258,68
"DN22 0",4803,2086,1738,738,171,70
"DN22 6",7447,3194,2563,1200,368,122
"DN22 7",14903,6245,5293,2432,736,197
"DN22 8",5826,2514,2067,928,262,55
"DN22 9",3107,1377,1129,466,101,34
"DN3  1",8327,3962,2844,1112,335,74
"DN3  2",11824,5675,3864,1544,560,181
"DN3  3",9918,4182,3416,1635,534,151
"DN31 1",1928,787,710,295,112,24
"DN31 2",7481,3163,2741,1127,343,107
"DN31 3",210,69,71,47,17,6
"DN32 0",6619,3149,2211,900,260,99
"DN32 7",6663,2226,2190,1415,635,197
"DN32 8",8466,3855,3014,1167,316,114
"DN32 9",8509,3685,3212,1133,369,110
"DN33 1",7111,2928,2320,1237,485,141
"DN33 2",5126,2369,1812,692,201,52
"DN33 3",7301,3424,2499,995,302,81
"DN34 4",8407,3717,3072,1219,316,83
"DN34 5",10594,4459,3877,1605,517,136
"DN35 0",8606,3978,2937,1251,354,86
"DN35 7",11839,5330,4213,1592,532,172
"DN35 8",8185,3491,2952,1180,447,115
"DN35 9",5931,2189,2121,1154,364,103
"DN36 4",10848,4873,3684,1684,464,143
"DN36 5",8255,3709,3008,1133,307,98
"DN37 0",7975,3673,2781,1136,296,89
"DN37 7",3542,1779,1128,475,129,31
"DN37 8",400,159,130,73,28,10
"DN37 9",9828,4504,3375,1437,412,100
"DN38 6",3023,1503,1002,388,99,31
"DN39 6",2846,1260,1021,402,125,38
"DN4  0",10620,4608,3680,1586,587,159
"DN4  5",5407,2522,1905,683,226,71
"DN4  6",11640,5073,4023,1798,586,160
"DN4  7",7766,3630,2758,1000,287,91
"DN4  8",7638,3742,2532,921,338,105
"DN4  9",10344,4432,3670,1565,526,151
"DN40 1",5650,2421,1952,890,298,89
"DN40 2",3992,1719,1448,609,174,42
"DN40 3",2657,1121,940,413,145,38
"DN41 7",2940,1596,967,283,77,17
"DN41 8",3326,1551,1202,425,124,24
"DN5  0",9827,4016,3429,1505,660,217
"DN5  7",8833,4313,2984,1110,342,84
"DN5  8",11474,5231,4031,1560,493,159
"DN5  9",10730,4737,3630,1627,575,161
"DN6  0",6283,2754,1976,1058,389,106
"DN6  7",10737,4694,3635,1552,700,156
"DN6  8",8688,3517,2940,1413,653,165
"DN6  9",5440,2419,1840,804,285,92
"DN7  4",8354,3538,2836,1332,487,161
"DN7  5",7284,3076,2313,1261,487,147
"DN7  6",8972,3713,3339,1386,406,128
"DN8  4",9796,4154,3181,1605,664,192
"DN8  5",7499,3157,2408,1259,507,168
"DN9  1",8575,4121,2816,1199,340,99
"DN9  2",5039,2362,1662,723,234,58
"DN9  3",6404,3263,2185,716,187,53
"DT1  1",5930,2420,2063,1001,339,107
"DT1  2",10864,5056,3894,1439,392,83
"DT1  3",2266,1155,754,261,72,24
"DT10 1",6104,2740,2186,896,220,62
"DT10 2",5737,2477,2218,808,186,48
"DT11 0",7206,3540,2531,826,252,57
"DT11 7",10325,4736,3637,1488,368,96
"DT11 8",7905,4395,2508,769,173,60
"DT11 9",4720,2304,1615,603,164,34
"DT2  0",3582,1734,1260,436,116,36
"DT2  7",5738,2794,1995,747,156,46
"DT2  8",7849,3647,2744,1132,244,82
"DT2  9",7657,3663,2702,964,256,72
"DT3  4",5626,2501,2007,799,238,81
"DT3  5",8977,4099,3258,1173,320,127
"DT3  6",8535,3559,3183,1324,382,87
"DT4  0",12649,5259,4527,2005,656,202
"DT4  7",7697,3029,2758,1331,421,158
"DT4  8",4597,1802,1768,722,239,66
"DT4  9",12350,5476,4506,1738,491,139
"DT5  1",6580,2789,2482,935,274,100
"DT5  2",6264,2632,2366,928,269,69
"DT6  3",6302,2599,2291,1022,314,76
"DT6  4",5789,2224,2216,1036,253,60
"DT6  5",5928,2432,2228,929,270,69
"DT6  6",3540,1469,1354,539,126,52
"DT7  3",5696,2386,2050,936,258,66
"DT8  3",6000,2543,2222,914,252,69
"DT9  3",3568,1621,1154,597,154,42
"DT9  4",5651,2606,2011,771,204,59
"DT9  5",4950,2302,1739,696,169,44
"DT9  6",6621,3019,2366,961,228,47
"DY1  1",748,259,243,169,53,24
"DY1  2",14344,6232,4841,2257,784,230
"DY1  3",11246,5034,3771,1571,658,212
"DY1  4",5793,2363,2033,936,378,83
"DY10 1",7077,3217,2569,960,252,79
"DY10 2",11110,4964,3881,1605,505,155
"DY10 3",10247,4217,3517,1769,586,158
"DY10 4",7380,3559,2616,914,227,64
"DY11 5",9960,4242,3552,1547,460,159
"DY11 6",12434,5416,4356,1907,578,177
"DY11 7",7683,3263,2707,1189,411,113
"DY12 1",4960,2181,1748,737,214,80
"DY12 2",5976,2658,2094,918,238,68
"DY12 3",1369,540,510,236,60,23
"DY13 0",6755,2627,2442,1183,382,121
"DY13 8",8832,3779,3168,1352,428,105
"DY13 9",6622,3124,2234,883,298,83
"DY14 0",1775,758,633,293,70,21
"DY14 8",3843,1865,1306,491,136,45
"DY14 9",2911,1294,1046,409,120,42
"DY2  0",11024,4525,3811,1762,725,201
"DY2  7",7648,3250,2617,1160,475,146
"DY2  8",7069,2884,2519,1110,419,137
"DY2  9",8720,3371,3171,1491,525,162
"DY3  1",9578,3813,3394,1669,544,158
"DY3  2",11240,4418,4086,1864,682,190
"DY3  3",11109,4517,4205,1795,482,110
"DY3  4",1803,668,662,308,102,63
"DY4  0",13881,5730,4712,2228,887,324
"DY4  7",9825,4346,3437,1367,514,161
"DY4  8",11217,4626,3893,1744,708,246
"DY4  9",7923,3343,2632,1251,551,146
"DY5  1",6453,2565,2188,1165,431,104
"DY5  2",13659,5863,5051,1950,630,165
"DY5  3",13053,5841,4692,1781,570,169
"DY5  4",8733,3372,3169,1512,535,145
"DY6  0",4060,1756,1415,639,195,55
"DY6  7",4124,1848,1541,505,175,55
"DY6  8",10735,4491,3971,1595,507,171
"DY6  9",8570,3760,3097,1308,329,76
"DY7  5",2208,1015,736,318,104,35
"DY7  6",6092,2724,2173,879,229,87
"DY8  1",5551,2466,1943,799,266,77
"DY8  2",6038,3109,1984,742,170,33
"DY8  3",12558,5540,4545,1820,524,129
"DY8  4",13351,5823,4692,2030,642,164
"DY8  5",13239,5527,4884,2008,629,191
"DY9  0",10867,5411,3745,1361,269,81
"DY9  7",4985,1922,1840,862,277,84
"DY9  8",5929,2466,2182,857,344,80
"DY9  9",8291,3651,2852,1265,413,110
"E1   0",11066,4911,3795,1462,669,229
"E1   1",6305,3306,2016,627,275,81
"E1   2",7872,3771,2639,903,385,174
"E1   3",7366,3424,2435,916,433,158
"E1   4",15388,7548,5175,1649,725,291
"E1   5",11202,5421,3602,1295,631,253
"E1   6",4333,2442,1343,357,143,48
"E1   7",2483,1388,763,222,81,29
"E1   8",4374,2329,1433,382,181,49
"E10  5",14857,6931,5313,1792,615,206
"E10  6",16361,7903,5887,1797,538,236
"E10  7",11902,5356,4334,1483,533,196
"E11  1",11673,5748,4051,1338,382,154
"E11  2",11440,5879,3785,1285,387,104
"E11  3",16434,8119,5712,1795,586,222
"E11  4",15142,7328,5318,1753,534,209
"E12  5",16644,7997,5637,2023,701,286
"E12  6",25962,12386,8929,3140,1087,420
"E13  0",19094,8926,6643,2362,865,298
"E13  8",13717,6470,4699,1684,660,204
"E13  9",14358,6756,5127,1706,571,198
"E14  0",10795,5096,3560,1412,532,195
"E14  2",1760,1020,588,108,33,11
"E14  3",17059,9096,5591,1586,596,190
"E14  4",468,329,123,15,0,1
"E14  5",649,386,210,39,9,5
"E14  6",12181,5478,4171,1594,691,247
"E14  7",12828,6358,4166,1431,629,244
"E14  8",12380,6718,3946,1093,450,173
"E14  9",14518,8780,4561,848,242,87
"E15  1",13928,6691,4968,1483,555,231
"E15  2",10963,5616,3878,989,340,140
"E15  3",14417,6925,5017,1686,589,200
"E15  4",12342,6024,4365,1293,484,176
"E16  1",11995,6351,3982,1107,403,152
"E16  2",9795,5281,3316,832,290,76
"E16  3",14011,6711,4808,1601,652,239
"E16  4",9570,4382,3340,1195,511,142
"E17  3",12624,5768,4511,1581,562,202
"E17  4",16479,7860,5962,1957,556,144
"E17  5",17002,7984,5983,2035,762,238
"E17  6",17015,8076,6302,1852,584,201
"E17  7",11177,5261,3998,1318,449,151
"E17  8",15726,7253,5848,1827,593,205
"E17  9",13106,6308,4652,1466,509,171
"E18  1",7920,4321,2578,750,198,73
"E18  2",11944,6159,4031,1251,380,123
"E1W  1",2506,1453,796,176,62,19
"E1W  2",4204,2486,1273,295,106,44
"E1W  3",5718,3072,1814,552,214,66
"E2   0",11253,5677,3645,1254,510,167
"E2   6",9423,4668,3086,1053,451,165
"E2   7",9106,4511,2897,1047,482,169
"E2   8",7539,3900,2348,820,354,117
"E2   9",8490,4179,2809,941,425,136
"E3   2",13970,7027,4681,1442,604,216
"E3   3",10681,5052,3682,1262,483,202
"E3   4",15169,7403,4996,1798,690,282
"E3   5",12551,6208,4045,1496,582,220
"E4   6",16960,7725,5811,2333,789,302
"E4   7",11697,5234,4114,1726,490,133
"E4   8",14418,6506,5127,1978,626,181
"E4   9",17282,8147,6110,2207,634,184
"E5   0",17276,8541,5481,2007,835,412
"E5   8",16080,7724,5190,1994,851,321
"E5   9",15136,7607,4733,1760,755,281
"E6   1",16731,8081,5738,1868,764,280
"E6   2",18102,8704,6431,2049,680,238
