
"QS406EW - Household size"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All household spaces with at least one usual resident"
"Units      :","Household spaces"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Household size","1 person in household","2 people in household","3 people in household","4 people in household","5 people in household","6 people in household","7 people in household","8 or more people in household"
"CM3  8",1204,256,456,218,192,61,13,8,0
"CM4  0",1938,569,699,269,270,92,30,7,2
"CM4  9",2390,646,915,363,328,107,26,3,2
"CM5  0",2183,519,800,386,316,125,27,8,2
"CM5  9",2131,563,767,340,312,107,33,8,1
"CM6  1",4845,1318,1731,763,749,226,47,6,5
"CM6  2",2476,581,919,382,410,139,38,7,0
"CM6  3",2592,479,919,463,512,157,51,6,5
"CM7  1",3876,1054,1380,684,524,176,51,6,1
"CM7  2",2374,693,856,362,331,99,24,6,3
"CM7  3",4785,1586,1500,805,600,224,47,11,12
"CM7  4",1763,435,697,295,232,78,21,4,1
"CM7  5",3932,1106,1453,627,531,160,42,8,5
"CM7  9",3568,812,1222,659,632,190,42,6,5
"CM77 6",1047,220,395,188,172,55,15,2,0
"CM77 7",2636,417,838,495,634,202,33,14,3
"CM77 8",2090,470,798,349,322,107,39,5,0
"CM8  1",5971,1829,2035,928,823,260,77,10,9
"CM8  2",5105,1527,1758,914,595,248,47,9,7
"CM8  3",2757,622,1022,504,430,139,28,10,2
"CM9  4",3717,1056,1298,610,532,169,41,11,0
"CM9  5",2015,760,688,284,194,67,18,3,1
"CM9  6",4675,1193,1730,743,735,207,56,10,1
"CM9  8",3721,897,1534,551,512,180,37,7,3
"CO1  1",2351,1025,776,268,204,54,18,3,3
"CO1  2",4988,2051,1594,697,445,146,39,10,6
"CO10 0",5438,1279,2147,853,817,259,67,11,5
"CO10 1",3595,1116,1242,618,411,147,47,13,1
"CO10 2",2263,996,822,232,143,45,22,3,0
"CO10 5",941,225,386,131,141,49,7,1,1
"CO10 7",2784,733,1162,397,342,107,34,8,1
"CO10 8",2423,720,1026,314,248,87,24,3,1
"CO10 9",2939,1037,1188,337,272,76,22,6,1
"CO11 1",2570,859,951,326,297,111,22,3,1
"CO11 2",3029,765,1184,492,416,115,47,5,5
"CO12 3",3261,1268,1071,470,279,119,41,9,4
"CO12 4",4881,1461,1781,777,560,210,73,12,7
"CO12 5",1594,339,649,264,237,74,22,7,2
"CO13 0",3691,1148,1564,434,364,122,38,16,5
"CO13 9",1979,761,818,187,136,55,17,3,2
"CO14 8",3288,1262,1336,348,217,81,33,9,2
"CO15 1",3187,1288,1065,371,287,111,42,14,9
"CO15 2",3285,1366,1231,333,208,107,28,11,1
"CO15 3",3700,1329,1065,567,425,201,73,28,12
"CO15 4",3840,1218,1654,474,347,116,24,5,2
"CO15 5",3334,1106,1575,328,233,61,24,5,2
"CO15 6",2724,1082,990,324,207,80,33,7,1
"CO16 0",1210,266,514,187,158,57,21,6,1
"CO16 7",2190,712,813,309,205,95,40,12,4
"CO16 8",4803,1562,1723,666,553,201,66,22,10
"CO16 9",2382,748,957,298,247,89,35,5,3
"CO2  0",1825,418,720,300,270,86,27,3,1
"CO2  7",3445,1058,1177,594,435,132,33,8,8
"CO2  8",5284,1646,1832,878,620,218,71,16,3
"CO2  9",3205,761,938,643,547,218,76,16,6
"CO3  0",3281,976,1186,493,456,126,35,8,1
"CO3  3",3535,1208,1215,527,415,137,22,8,3
"CO3  4",2830,814,1045,382,436,112,32,6,3
"CO3  8",321,83,94,55,62,20,6,0,1
"CO3  9",1934,411,691,376,306,115,28,4,3
"CO4  0",3051,821,1160,499,386,134,42,5,4
"CO4  3",6348,1831,2046,1062,904,350,124,23,8
"CO4  5",5785,1484,2116,998,893,219,62,12,1
"CO4  9",3714,1141,1157,665,533,165,40,9,4
"CO5  0",4122,1039,1629,590,610,203,46,5,0
"CO5  7",1907,478,787,294,260,66,20,1,1
"CO5  8",3406,1045,1438,389,372,119,37,6,0
"CO5  9",2610,657,991,405,408,115,29,4,1
"CO6  1",4031,1080,1483,619,620,175,43,7,4
"CO6  2",2559,654,1007,361,364,128,39,4,2
"CO6  3",2492,540,1021,391,391,111,30,6,2
"CO6  4",2424,580,1009,348,350,108,24,3,2
"CO6  5",342,75,145,50,44,18,8,1,1
"CO7  0",3628,1170,1375,507,392,139,33,9,3
"CO7  6",2481,641,1011,333,334,132,24,4,2
"CO7  7",2214,523,866,376,305,97,37,5,5
"CO7  8",2379,567,997,367,300,107,29,10,2
"CO7  9",3339,998,1247,488,412,153,29,10,2
"CO8  5",986,250,416,138,121,50,6,4,1
"CO9  1",4084,1279,1468,593,528,177,31,6,2
"CO9  2",2628,775,1011,383,324,98,28,7,2
"CO9  3",2396,646,953,350,309,100,27,6,5
"CO9  4",1670,344,696,237,265,93,24,5,6
"CR0  0",6586,1413,1950,1260,1106,550,236,43,28
"CR0  1",4190,1618,1320,690,393,118,36,10,5
"CR0  2",8126,2816,2278,1441,939,386,195,41,30
"CR0  3",6706,1664,1683,1254,1136,602,244,79,44
"CR0  4",6859,2086,2012,1232,968,376,140,27,18
"CR0  5",4609,1611,1417,752,560,191,51,17,10
"CR0  6",9415,3279,2697,1649,1111,447,174,36,22
"CR0  7",6172,1562,1904,1080,1025,418,124,40,19
"CR0  8",4894,1155,1517,884,818,351,133,27,9
"CR0  9",4453,1503,1292,754,550,226,97,19,12
"CR2  0",4344,1041,1563,717,696,235,67,15,10
"CR2  6",4798,1712,1569,738,508,176,64,20,11
"CR2  7",3668,1293,1283,489,412,120,44,22,5
"CR2  8",4305,944,1448,785,724,299,85,15,5
"CR2  9",2690,642,824,444,522,187,61,7,3
"CR3  0",1902,635,625,299,247,75,14,5,2
"CR3  5",4976,1310,1638,763,895,280,76,11,3
"CR3  6",3950,1232,1301,662,536,179,35,5,0
"CR3  7",744,139,328,103,119,46,9,0,0
"CR4  1",6241,1688,1583,1119,970,543,244,54,40
"CR4  2",4821,1210,1201,936,788,424,194,43,25
"CR4  3",6989,1959,1775,1285,1058,530,255,80,47
"CR4  4",3723,1155,1015,635,545,229,112,18,14
"CR5  1",4269,1065,1459,753,695,220,61,10,6
"CR5  2",3478,841,1079,626,590,233,73,26,10
"CR5  3",3377,688,1117,624,653,212,57,18,8
"CR6  9",4037,1087,1434,604,655,179,63,9,6
"CR7  6",3011,672,699,567,531,290,164,40,48
"CR7  7",6385,1767,1524,1157,1026,543,260,67,41
"CR7  8",6883,2131,1744,1212,900,552,223,66,55
"CR8  1",1797,314,646,325,364,102,38,7,1
"CR8  2",3437,1097,1137,534,426,159,53,15,16
"CR8  3",1672,286,530,302,327,145,53,15,14
"CR8  4",2279,533,719,419,382,152,55,12,7
"CR8  5",3217,768,1106,569,545,175,44,6,4
"CT1  1",4992,1486,1350,844,722,370,175,31,14
"CT1  2",1983,885,645,278,136,34,2,0,3
"CT1  3",4946,1547,1725,722,628,227,77,15,5
"CT10 1",3323,1239,1289,383,283,95,26,4,4
"CT10 2",4556,1424,1692,665,520,187,52,8,8
"CT10 3",3021,820,1145,482,367,148,45,8,6
"CT11 0",3331,1012,1305,489,369,108,36,9,3
"CT11 7",3761,1118,1234,674,474,187,57,10,7
"CT11 8",2888,1296,877,380,215,77,32,7,4
"CT11 9",3215,1410,904,408,297,122,50,18,6
"CT12 4",1713,505,669,257,192,63,21,5,1
"CT12 5",1144,267,479,180,140,59,17,2,0
"CT12 6",4763,1521,1563,769,546,216,103,27,18
"CT13 0",2520,741,939,355,300,122,47,13,3
"CT13 9",1445,558,583,147,97,35,19,4,2
"CT14 0",1235,340,541,148,140,41,17,7,1
"CT14 6",2702,1153,926,322,194,67,25,8,7
"CT14 7",4324,1646,1629,506,353,111,52,9,18
"CT14 8",1194,337,551,141,103,42,14,3,3
"CT14 9",6280,1818,2230,1076,765,271,89,25,6
"CT15 4",1496,383,566,225,194,69,41,13,5
"CT15 5",1132,243,423,210,183,44,21,4,4
"CT15 6",1196,393,526,129,101,33,11,1,2
"CT15 7",1534,325,698,222,201,55,26,5,2
"CT16 1",1841,947,571,171,78,38,24,4,8
"CT16 2",4372,1305,1393,798,527,201,95,35,18
"CT16 3",2342,578,996,394,264,74,26,5,5
"CT17 0",5260,1737,1716,846,584,226,103,30,18
"CT17 9",4154,1400,1308,703,495,152,62,20,14
"CT18 7",4249,854,1715,730,604,234,84,15,13
"CT18 8",1360,390,546,216,135,49,19,4,1
"CT19 4",3611,1042,1069,605,520,217,103,36,19
"CT19 5",4265,1298,1459,662,511,217,83,22,13
"CT19 6",3901,1232,1252,578,450,242,102,35,10
"CT2  0",2426,639,923,393,323,110,29,7,2
"CT2  7",3487,840,972,512,688,349,108,13,5
"CT2  8",3203,1086,1026,444,391,176,62,10,8
"CT2  9",1525,388,639,215,204,55,20,4,0
"CT20 1",3845,2130,1005,351,177,99,42,31,10
"CT20 2",4044,2045,1329,387,193,56,22,8,4
"CT20 3",3286,980,1191,531,406,108,49,14,7
"CT21 4",1853,442,810,286,224,72,9,7,3
"CT21 5",3028,1146,1165,347,249,88,29,2,2
"CT21 6",3008,1130,1088,367,264,119,30,8,2
"CT3  1",2441,645,947,382,311,109,37,6,4
"CT3  2",1332,320,487,243,185,66,25,2,4
"CT3  3",1757,466,567,304,252,114,41,11,2
"CT3  4",1402,331,510,233,204,86,27,8,3
"CT4  5",1679,425,649,247,245,68,37,4,4
"CT4  6",2107,527,858,307,273,95,34,10,3
"CT4  7",2209,515,835,395,301,122,32,7,2
"CT4  8",795,215,313,116,99,34,14,3,1
"CT5  1",3440,1192,1219,492,361,133,30,10,3
"CT5  2",3776,1291,1449,460,378,131,57,6,4
"CT5  3",2753,566,1224,407,354,135,55,8,4
"CT5  4",4553,1296,1812,661,525,181,62,11,5
"CT6  5",3464,1448,999,464,361,138,43,10,1
"CT6  6",4131,1170,1686,547,485,165,56,15,7
"CT6  7",5046,1201,1909,811,720,288,86,21,10
"CT6  8",3794,1263,1350,523,444,149,47,12,6
"CT7  0",1916,683,738,225,183,60,20,3,4
"CT7  9",3693,1365,1568,368,284,78,21,7,2
"CT8  8",3382,1366,1112,428,315,105,45,7,4
"CT9  1",3194,1434,878,442,267,92,51,17,13
"CT9  2",4561,1743,1303,679,474,217,100,25,20
"CT9  3",4844,1500,1803,707,512,214,81,16,11
"CT9  4",1701,586,575,265,186,52,30,5,2
"CT9  5",4507,1357,1432,715,657,232,74,26,14
"CV1  1",154,80,52,19,1,1,0,1,0
"CV1  2",2635,849,766,499,343,115,47,10,6
"CV1  3",2178,1145,539,213,145,71,38,11,16
"CV1  4",3571,1570,904,467,277,183,105,36,29
"CV1  5",3354,1236,783,502,366,243,126,51,47
"CV10 0",5440,1609,1953,885,714,203,55,20,1
"CV10 7",4587,1232,1609,824,641,196,69,12,4
"CV10 8",5070,1479,1711,894,655,236,82,11,2
"CV10 9",5639,1327,1907,1148,836,298,91,24,8
"CV11 4",5201,1648,1790,800,638,238,69,12,6
"CV11 5",4932,1926,1364,735,532,242,106,20,7
"CV11 6",6349,1288,2513,1132,1043,277,73,18,5
"CV12 0",3778,983,1374,692,500,154,61,9,5
"CV12 8",4653,1448,1610,765,607,172,38,12,1
"CV12 9",5235,1606,1935,819,612,180,65,10,8
"CV13 0",2743,716,1110,428,370,83,29,5,2
"CV13 6",1753,410,735,271,242,73,16,6,0
"CV2  1",5232,1943,1501,789,570,287,106,28,8
"CV2  2",5219,1448,1842,888,680,270,72,15,4
"CV2  3",5315,1460,1768,932,766,258,98,23,10
"CV2  4",5642,1867,1593,973,723,305,115,35,31
"CV2  5",4928,1495,1487,847,718,273,83,12,13
"CV21 1",4097,1092,1455,739,535,201,63,9,3
"CV21 2",3718,1531,1074,543,362,135,45,15,13
"CV21 3",4463,1486,1441,767,502,195,53,12,7
"CV21 4",3303,970,1300,452,405,135,38,3,0
"CV22 5",3634,938,1357,561,557,178,32,9,2
"CV22 6",4603,1419,1796,637,506,195,40,6,4
"CV22 7",6193,1534,2154,1087,1001,320,73,19,5
"CV23 0",3852,928,1435,656,597,180,41,10,5
"CV23 8",1883,413,840,272,244,85,21,4,4
"CV23 9",2799,711,1136,442,349,128,24,7,2
"CV3  1",3557,1037,1124,607,460,202,90,24,13
"CV3  2",6618,1607,2428,1167,982,317,91,17,9
"CV3  3",3680,1580,988,517,358,153,66,11,7
"CV3  4",2066,814,737,286,173,43,10,2,1
"CV3  5",5726,1830,1853,862,780,285,81,23,12
"CV3  6",4955,1264,1685,776,813,304,77,25,11
"CV31 1",4976,1543,1694,707,567,221,161,56,27
"CV31 2",4830,1305,1548,802,721,277,119,33,25
"CV31 3",2983,1159,836,397,305,147,94,25,20
"CV32 4",1516,674,492,133,104,58,34,12,9
"CV32 5",4031,1768,1378,415,312,101,38,6,13
"CV32 6",3194,980,1182,420,442,127,27,11,5
"CV32 7",5837,1697,2060,914,810,262,68,17,9
"CV33 9",2570,607,1062,404,376,99,15,4,3
"CV34 4",2704,1389,890,226,145,35,15,1,3
"CV34 5",6209,1907,2201,1007,799,217,57,15,6
"CV34 6",4797,1114,1627,824,884,228,90,18,12
"CV35 0",2432,656,951,346,350,105,17,2,5
"CV35 7",2177,511,830,372,342,101,16,2,3
"CV35 8",2401,565,1012,368,326,105,23,1,1
"CV35 9",3271,865,1281,505,465,115,31,5,4
"CV36 4",2966,957,1136,422,331,92,25,3,0
"CV36 5",1256,369,531,149,145,48,12,1,1
"CV37 0",2828,780,1059,457,375,103,37,14,3
"CV37 6",3506,1575,1270,366,231,45,13,3,3
"CV37 7",3632,989,1365,527,550,162,34,4,1
"CV37 8",2906,702,1198,422,416,131,27,8,2
"CV37 9",5118,1479,1933,774,655,196,66,10,5
"CV4  7",1668,420,609,249,215,102,48,17,8
"CV4  8",3016,911,863,499,436,219,66,12,10
"CV4  9",7299,2498,2406,1181,799,284,98,20,13
"CV47 0",956,293,329,154,121,41,15,3,0
"CV47 1",1822,525,635,285,281,77,15,3,1
"CV47 2",2047,461,761,390,326,88,16,3,2
"CV47 7",317,83,126,43,43,17,5,0,0
"CV47 8",981,201,375,171,164,60,8,1,1
"CV47 9",827,191,342,132,117,29,12,2,2
"CV5  6",5358,1846,1878,741,620,200,58,8,7
"CV5  7",5116,1317,2080,793,665,203,45,7,6
"CV5  8",5284,1635,1745,877,709,241,55,13,9
"CV5  9",4278,1255,1699,586,516,168,45,7,2
"CV6  1",5676,1638,1829,966,814,295,99,25,10
"CV6  2",4975,1431,1576,870,751,254,71,16,6
"CV6  3",4188,1134,1214,795,633,269,116,16,11
"CV6  4",5103,1354,1572,868,786,365,119,24,15
"CV6  5",4666,1331,1098,737,619,423,298,79,81
"CV6  6",4391,1359,1352,733,548,258,106,24,11
"CV6  7",4897,1386,1466,846,675,329,147,27,21
"CV7  7",4407,1091,1686,663,683,214,53,11,6
"CV7  8",3455,882,1245,593,508,169,45,8,5
"CV7  9",3572,979,1269,596,477,159,69,16,7
"CV8  1",4849,1510,1785,649,649,202,39,11,4
"CV8  2",5886,1793,2239,827,778,209,34,4,2
"CV8  3",2845,719,1117,467,394,111,26,7,4
"CV9  1",2597,867,902,423,262,105,26,8,4
"CV9  2",3750,980,1413,617,506,177,41,9,7
"CV9  3",2678,643,1067,439,379,128,16,4,2
"CW1  2",786,343,249,127,56,4,7,0,0
"CW1  3",7345,2320,2298,1290,958,335,111,20,13
"CW1  4",4556,1176,1439,841,740,231,93,23,13
"CW1  5",4219,1150,1615,716,530,166,28,12,2
"CW1  6",516,157,213,64,55,18,8,1,0
"CW10 0",3101,732,1116,622,471,126,29,3,2
"CW10 9",2890,867,1001,472,386,124,31,7,2
"CW11 1",3195,925,1259,481,401,101,22,6,0
"CW11 2",798,205,322,129,107,25,6,1,3
"CW11 3",2931,746,990,548,512,105,23,5,2
"CW11 4",2766,827,1004,440,364,101,23,6,1
"CW12 1",1846,735,610,262,187,37,13,1,1
"CW12 2",2103,532,840,344,290,68,23,5,1
"CW12 3",4177,1068,1573,718,600,161,43,6,8
"CW12 4",4580,1374,1719,731,574,150,26,4,2
"CW2  5",3454,866,1422,532,483,114,32,4,1
"CW2  6",4314,1048,1578,764,650,192,65,11,6
"CW2  7",3928,1307,1150,691,496,184,74,11,15
"CW2  8",5607,1576,2023,942,771,220,55,16,4
"CW3  0",1178,308,503,177,139,41,6,3,1
"CW3  9",2748,790,1061,399,360,102,29,6,1
"CW4  7",2503,657,974,418,357,77,18,2,0
"CW4  8",1472,329,601,249,215,65,11,1,1
"CW5  5",3860,1652,1268,470,316,117,32,4,1
"CW5  6",3297,1035,1325,464,363,83,23,4,0
"CW5  7",3861,923,1378,651,688,169,40,8,4
"CW5  8",1797,420,711,276,260,93,27,8,2
"CW6  0",2918,759,1144,441,405,138,23,6,2
"CW6  9",2107,455,899,295,313,111,30,4,0
"CW7  1",3757,973,1327,661,518,184,74,13,7
"CW7  2",4521,1246,1526,830,660,198,41,12,8
"CW7  3",3796,929,1358,688,557,191,63,8,2
"CW7  4",792,239,274,135,92,39,11,2,0
"CW8  1",3772,1137,1347,598,488,149,39,7,7
"CW8  2",3786,882,1626,531,546,160,31,5,5
"CW8  3",3065,889,1127,492,372,130,45,6,4
"CW8  4",4437,1263,1588,759,586,178,47,14,2
"CW9  5",1527,595,464,230,173,50,14,1,0
"CW9  6",2410,585,961,429,335,76,21,3,0
"CW9  7",4545,1285,1629,784,598,173,56,12,8
"CW9  8",5516,1446,1951,913,914,229,53,7,3
"DA1  1",3986,1173,1211,739,603,196,50,9,5
"DA1  2",4833,1512,1407,794,733,269,91,19,8
"DA1  3",4577,1053,1453,801,876,287,79,22,6
"DA1  4",3657,1313,1066,567,462,170,52,23,4
"DA1  5",4714,1649,1387,733,590,246,80,18,11
"DA10 0",2840,913,826,500,408,137,42,11,3
"DA11 0",3595,1289,967,533,416,228,107,29,26
"DA11 7",3577,1005,1092,584,582,218,72,15,9
"DA11 8",4237,1078,1394,684,706,240,103,19,13
"DA11 9",3784,1206,1111,659,496,191,92,19,10
"DA12 1",2790,992,776,439,344,139,67,19,14
"DA12 2",3629,1217,960,615,478,225,91,25,18
"DA12 3",981,259,401,142,124,35,17,2,1
"DA12 4",5632,1328,1894,999,941,319,113,23,15
"DA12 5",5799,1495,1811,1033,865,393,153,34,15
"DA13 0",3534,710,1387,578,610,186,55,5,3
"DA13 9",2184,449,922,351,314,114,26,5,3
"DA14 4",4181,1359,1360,600,586,190,54,23,9
"DA14 5",1802,548,644,284,192,91,38,5,0
"DA14 6",3427,1480,958,471,359,119,32,6,2
"DA15 7",2129,616,710,317,367,89,25,1,4
"DA15 8",5780,1361,1898,1001,1102,318,84,12,4
"DA15 9",3494,788,1114,649,645,232,53,9,4
"DA16 1",4688,1079,1384,821,933,332,111,18,10
"DA16 2",5423,1225,1722,974,1001,366,105,19,11
"DA16 3",3558,966,1100,614,545,236,73,16,8
"DA17 5",4333,1401,1229,749,590,250,86,15,13
"DA17 6",2613,749,772,443,366,192,63,18,10
"DA18 4",1962,707,426,322,281,133,62,19,12
"DA2  6",3892,1209,1221,572,597,206,70,11,6
"DA2  7",4565,1101,1645,701,751,278,69,14,6
"DA2  8",650,132,253,106,124,23,9,2,1
"DA3  7",3244,864,1282,464,432,145,43,10,4
"DA3  8",3544,789,1309,603,613,174,43,8,5
"DA4  0",1351,421,449,204,213,49,13,1,1
"DA4  9",2557,795,901,359,337,129,29,5,2
"DA5  1",2861,816,943,438,447,145,61,9,2
"DA5  2",2036,415,790,310,374,111,31,3,2
"DA5  3",3367,765,1177,568,606,196,48,5,2
"DA6  7",1688,463,544,290,232,104,43,5,7
"DA6  8",2305,661,757,385,328,124,34,10,6
"DA7  4",5003,1379,1666,869,742,262,68,15,2
"DA7  5",4729,1032,1666,800,842,297,69,14,9
"DA7  6",4514,1177,1541,777,726,227,58,8,0
"DA8  1",5312,1536,1548,930,786,342,134,18,18
"DA8  2",4346,1290,1179,819,638,304,90,14,12
"DA8  3",4039,1133,1215,702,628,254,76,17,14
"DA9  9",5788,1909,1966,909,722,201,67,8,6
"DE1  1",2445,1240,679,276,169,49,23,6,3
"DE1  2",1371,851,325,89,64,20,9,3,10
"DE1  3",2786,1266,876,332,196,79,28,6,3
"DE11 0",6356,1657,2282,1148,881,283,78,18,9
"DE11 7",4028,993,1555,652,595,166,50,14,3
"DE11 8",2585,774,897,417,343,116,32,4,2
"DE11 9",5386,1460,1984,954,698,218,58,10,4
"DE12 6",3173,815,1220,531,424,137,38,5,3
"DE12 7",3759,981,1366,611,553,180,47,16,5
"DE12 8",1552,391,638,224,209,67,20,2,1
"DE13 0",7858,2147,2769,1347,1106,357,90,34,8
"DE13 7",1699,387,712,263,239,72,22,4,0
"DE13 8",3365,848,1379,492,481,126,31,4,4
"DE13 9",4164,1117,1696,605,554,147,36,6,3
"DE14 1",1287,609,393,156,97,21,8,2,1
"DE14 2",5148,1760,1524,816,514,269,163,60,42
"DE14 3",5596,1706,1709,971,697,288,148,38,39
"DE15 0",3925,1055,1488,589,516,177,69,20,11
"DE15 9",6315,1986,2187,1036,738,279,68,11,10
"DE21 2",4336,1076,1600,764,692,161,31,9,3
"DE21 4",5417,1471,1861,925,752,277,98,25,8
"DE21 5",1550,386,634,231,243,47,6,2,1
"DE21 6",7210,2055,2467,1233,965,346,103,20,21
"DE21 7",5405,1557,2100,838,654,185,52,11,8
"DE22 1",2879,994,1015,397,330,104,31,5,3
"DE22 2",5956,1691,2332,800,869,209,44,8,3
"DE22 3",7804,2964,2493,1177,767,253,112,23,15
"DE22 4",3343,1012,1127,533,453,158,41,16,3
"DE22 5",371,74,152,55,69,14,5,2,0
"DE23 1",3364,950,1119,493,493,181,87,28,13
"DE23 2",1268,349,460,198,166,67,18,8,2
"DE23 3",2091,378,602,367,489,164,69,15,7
"DE23 4",1088,287,370,181,166,61,17,4,2
"DE23 6",6641,1836,1815,916,936,545,350,131,112
"DE23 8",7269,2332,1649,1009,898,661,452,139,129
"DE24 0",6795,2128,2416,1037,835,266,88,20,5
"DE24 1",486,146,213,82,36,7,1,1,0
"DE24 3",2412,556,822,411,417,124,66,8,8
"DE24 5",474,82,159,84,117,26,5,1,0
"DE24 8",6808,2162,2051,1099,857,382,171,61,25
"DE24 9",5655,1840,1721,876,717,329,123,29,20
"DE3  0",3454,983,1315,544,465,118,26,3,0
"DE3  9",3702,852,1495,582,556,149,50,13,5
"DE4  2",3958,1096,1643,532,490,159,30,4,4
"DE4  3",5439,1733,2090,765,633,178,31,6,3
"DE4  4",2999,908,1150,391,388,116,38,7,1
"DE4  5",2314,633,998,319,260,80,17,6,1
"DE45 1",3908,1296,1563,454,412,145,31,3,4
"DE5  3",5805,1737,2176,914,697,205,62,12,2
"DE5  8",1588,362,614,262,246,82,17,5,0
"DE5  9",2072,564,797,352,267,66,22,3,1
"DE55 1",2982,831,1175,488,392,72,22,2,0
"DE55 2",3096,910,1129,514,382,118,31,6,6
"DE55 3",1591,394,594,317,223,46,16,1,0
"DE55 4",3716,1100,1364,590,458,144,48,6,6
"DE55 5",3489,1009,1271,552,464,148,38,6,1
"DE55 6",3170,857,1275,501,393,108,23,12,1
"DE55 7",4205,1360,1541,650,448,139,47,16,4
"DE56 0",5302,1423,2075,825,751,181,38,6,3
"DE56 1",5885,1785,2180,925,724,208,54,8,1
"DE56 2",3949,925,1791,574,490,124,33,8,4
"DE56 4",2158,582,758,273,373,131,37,2,2
"DE6  1",4741,1345,1804,668,659,190,63,8,4
"DE6  2",2225,536,898,346,300,124,14,2,5
"DE6  3",1492,345,665,209,201,55,15,1,1
"DE6  4",449,122,186,64,50,21,5,0,1
"DE6  5",1613,397,667,256,198,71,21,2,1
"DE65 5",4754,1155,1652,850,800,222,63,10,2
"DE65 6",4541,1157,1785,718,617,199,53,8,4
"DE7  4",5392,1518,2003,871,702,217,59,15,7
"DE7  5",4353,1320,1563,749,527,134,46,7,7
"DE7  6",4454,1160,1833,675,578,159,40,5,4
"DE7  8",6005,1945,2061,1024,659,208,79,21,8
"DE7  9",1226,239,442,259,225,50,10,0,1
"DE72 2",1780,484,709,242,273,66,4,2,0
"DE72 3",7049,1960,2818,1123,880,201,54,10,3
"DE73 5",1746,337,547,307,412,83,47,7,6
"DE73 6",2672,702,888,454,474,112,35,6,1
"DE73 7",792,213,329,122,92,27,5,3,1
"DE73 8",2593,792,959,381,331,112,14,0,4
"DE74 2",4919,1389,1860,762,653,188,56,8,3
"DE75 7",7791,1981,2962,1314,1096,310,96,23,9
"DH1  1",4065,1296,1568,606,410,123,49,6,7
"DH1  2",3729,1072,1446,566,452,151,33,7,2
"DH1  3",1596,469,504,230,200,112,56,19,6
"DH1  4",2710,630,848,427,438,209,114,27,17
"DH1  5",5975,1841,2300,900,727,169,30,7,1
"DH2  1",4665,1328,1692,840,625,137,38,4,1
"DH2  2",4552,1519,1535,725,564,142,51,11,5
"DH2  3",4209,1375,1429,688,560,130,23,3,1
"DH3  1",3195,1007,1091,534,393,129,33,6,2
"DH3  2",2395,648,915,423,303,77,23,4,2
"DH3  3",3180,1104,1202,482,316,62,12,2,0
"DH3  4",2759,677,1180,463,340,71,20,7,1
"DH4  4",3521,1006,1216,670,464,122,36,6,1
"DH4  5",3054,946,1112,511,373,87,23,2,0
"DH4  6",3834,1121,1396,623,502,132,46,10,4
"DH4  7",3864,1018,1278,725,636,156,40,9,2
"DH5  0",3156,1012,1079,518,355,149,36,5,2
"DH5  8",2518,687,930,468,307,85,36,2,3
"DH5  9",2993,1016,1069,492,306,87,17,4,2
"DH6  1",3042,926,1148,464,376,100,25,1,2
"DH6  2",3990,1276,1317,660,512,155,53,13,4
"DH6  3",2476,802,842,418,294,92,20,6,2
"DH6  4",3080,941,1093,505,395,102,33,9,2
"DH6  5",2140,702,774,336,239,68,19,1,1
"DH7  0",2611,793,1067,391,271,76,13,0,0
"DH7  6",3750,1116,1413,637,430,125,21,7,1
"DH7  7",3484,1047,1254,629,399,108,40,5,2
"DH7  8",4548,1562,1556,740,507,134,39,6,4
"DH7  9",4262,1417,1495,731,461,117,29,9,3
"DH8  0",2994,863,1175,480,361,88,22,4,1
"DH8  5",2839,941,962,510,328,78,16,3,1
"DH8  6",3057,965,1125,474,369,91,25,6,2
"DH8  7",3957,1238,1370,675,505,138,22,6,3
"DH8  8",2988,1023,997,490,331,112,26,7,2
"DH8  9",1220,316,497,187,154,48,14,4,0
"DH9  0",2172,751,797,323,217,58,22,2,2
"DH9  6",4530,1498,1545,759,487,171,50,14,6
"DH9  7",3704,1284,1344,568,341,126,35,4,2
"DH9  8",3028,940,1058,540,325,115,39,9,2
"DH9  9",3031,909,1134,492,364,107,21,3,1
"DL1  1",2397,946,816,323,203,83,26,0,0
"DL1  2",5243,1743,1793,844,575,203,64,15,6
"DL1  3",3720,939,1519,632,468,126,31,2,3
"DL1  4",6203,2028,2141,971,696,263,83,8,13
"DL1  5",2860,1001,909,468,291,137,42,9,3
"DL10 4",2444,844,938,312,242,86,16,6,0
"DL10 5",1503,401,623,234,179,51,15,0,0
"DL10 6",1165,290,504,148,154,53,15,1,0
"DL10 7",2733,731,1126,406,343,106,15,6,0
"DL11 6",925,252,438,106,89,26,12,2,0
"DL11 7",1424,363,604,221,168,56,8,4,0
"DL12 0",1182,406,475,147,106,35,7,5,1
"DL12 8",3056,1100,1126,391,332,80,20,5,2
"DL12 9",1153,275,514,191,121,35,17,0,0
"DL13 1",705,237,284,98,61,17,7,0,1
"DL13 2",1434,482,536,224,143,38,9,2,0
"DL13 3",1397,417,557,180,184,47,10,0,2
"DL13 4",1364,427,460,242,159,54,15,4,3
"DL13 5",1545,505,598,240,147,44,8,0,3
"DL14 0",2704,746,999,472,370,93,20,1,3
"DL14 6",5114,1646,1854,800,560,194,50,6,4
"DL14 7",2259,860,802,328,203,47,13,4,2
"DL14 8",3029,973,1087,466,342,117,36,5,3
